band,pointing,sca,mjd,pa
R062,51635,18,62670.166,241.64380418083442
R062,51636,6,62670.168,241.64380418083442
R062,51636,9,62670.168,241.64380418083442
R062,51641,8,62670.185,241.64380418083442
R062,52015,14,62675.15,251.5066996662164
R062,52015,17,62675.15,251.5066996662164
R062,52015,18,62675.15,251.5066996662164
R062,52020,1,62675.166,251.5066996662164
R062,52020,4,62675.166,251.5066996662164
R062,52020,10,62675.166,251.5066996662164
R062,52025,7,62675.182,251.5066996662164
R062,52395,14,62680.134,261.3695951515984
R062,52395,15,62680.134,261.3695951515984
R062,52395,18,62680.134,261.3695951515984
R062,52400,2,62680.15,261.3695951515984
R062,52400,5,62680.15,261.3695951515984
R062,52400,11,62680.15,261.3695951515984
R062,52405,8,62680.166,261.3695951515984
R062,52775,18,62685.118,271.23306359477556
R062,52780,2,62685.134,271.23306359477556
R062,52780,3,62685.134,271.23306359477556
R062,52780,11,62685.134,271.23306359477556
R062,52780,12,62685.134,271.23306359477556
R062,52785,6,62685.15,271.23306359477556
R062,52785,9,62685.15,271.23306359477556
